Nationality,continent,sub-continent,2025-Jan,2025-Feb,2025-Mar,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec
Brunei,Asia and the Pacific,South-East Asia,1306,1075,856,1142,1328,996,1063,1155,1246,1339,1921,1025,1294,1409,2270
Cambodia,Asia and the Pacific,South-East Asia,46001,43533,41087,47963,45404,46499,42732,46384,47125,49135,46242,43436,43590,45367,49183
Indonesia,Asia and the Pacific,South-East Asia,82919,70389,66486,70785,77579,63162,74499,75162,80154,74541,66911,65857,66816,74591,86553
Laos,Asia and the Pacific,South-East Asia,94271,78253,92192,102319,100613,105165,95010,104273,111412,118503,82791,79490,67865,85555,71206
Malaysia,Asia and the Pacific,South-East Asia,443015,418045,292436,321704,501120,345750,401282,442550,423554,427863,405752,472899,402575,354892,452137
Myanmar,Asia and the Pacific,South-East Asia,50067,44157,57188,35742,39616,51358,56698,47830,43701,44547,41702,38354,43317,43725,60039
Philippines,Asia and the Pacific,South-East Asia,48987,47601,51046,35418,37911,42504,43856,44695,57067,59361,53721,46279,56008,61551,59753
Singapore,Asia and the Pacific,South-East Asia,77555,64585,81349,65188,66414,83489,62938,82219,105202,75176,84267,72993,79144,100968,131642
Vietnam,Asia and the Pacific,South-East Asia,64094,69433,63945,55400,75013,78913,81699,100246,110624,116548,100566,67023,65112,69256,63848
China,Asia and the Pacific,North-East Asia,662779,371542,297113,508563,674558,573216,595572,559461,528112,688248,657366,469668,459819,483364,535215
Hong Kong (China),Asia and the Pacific,North-East Asia,69047,43411,37395,47831,67278,78463,59401,64981,81602,97896,107831,59891,62126,66244,82532
Japan,Asia and the Pacific,North-East Asia,87441,120130,109173,74205,104086,93136,62360,67269,69733,75650,122382,93827,74005,109639,104612
North Korea,Asia and the Pacific,North-East Asia,2,12,2,0,0,22,4,15,0,0,0,0,0,2,0
Korea (Republic of),Asia and the Pacific,North-East Asia,209065,168090,120775,222571,189727,146575,120608,124093,131409,157909,156152,133741,142327,154509,189324
Macao (China),Asia and the Pacific,North-East Asia,3635,1976,1993,1947,3424,4268,3774,3842,4720,7217,8992,3647,3276,4100,6173
Mongolia,Asia and the Pacific,North-East Asia,12082,4752,2569,8749,4237,1670,987,995,987,1096,951,859,949,2669,8196
Taiwan,Asia and the Pacific,North-East Asia,116779,100371,79879,83376,94248,90396,90970,79956,94334,97052,101102,81821,94793,92764,89098
Bangladesh,Asia and the Pacific,South Asia,13237,10433,6202,13469,13853,7264,13989,10046,12814,12111,8847,10247,12327,11983,15318
Bhutan,Asia and the Pacific,South Asia,4539,2729,1805,3161,1639,1238,1062,1187,1296,1535,1585,1721,1881,1945,3331
India,Asia and the Pacific,South Asia,185809,169988,187973,162831,148992,161129,170635,198993,197489,158676,165757,171694,168747,203489,220717
Iran,Asia and the Pacific,South Asia,4814,4753,8912,4823,4606,10668,4602,4087,3698,4227,5231,5762,6123,5519,5616
Maldives,Asia and the Pacific,South Asia,1700,1762,1052,2031,1934,963,2006,4416,3017,1932,1917,3032,1817,2137,3234
Nepal,Asia and the Pacific,South Asia,4414,4431,4292,3751,3109,3219,2799,2924,3438,3667,3552,3205,5956,3642,4503
Pakistan,Asia and the Pacific,South Asia,6267,6761,3736,5158,6124,3019,4936,5660,6812,8339,6797,6652,6558,6901,8158
Sri Lanka,Asia and the Pacific,South Asia,5726,6491,7766,3484,3877,3600,4852,4084,3986,4889,7901,8008,7394,8297,8281
Other in Asia,Asia and the Pacific,Other in Asia,170,129,175,73,85,115,121,95,68,86,138,100,159,177,279
Australia,Asia and the Pacific,Oceania,82116,57499,59395,65905,47045,59172,62887,52920,64883,70772,56146,64839,69339,70937,90165
New Zealand,Asia and the Pacific,Oceania,8809,6143,7172,7315,5752,6668,7713,7067,8646,10194,7911,7346,8275,9101,10745
  Other in Oceania,Asia and the Pacific,Other in Oceania,481,385,393,409,351,450,406,513,437,511,497,490,432,739,672
Denmark,Europe,Northern Europe,27253,26648,16334,24472,24193,17047,6469,3929,4369,9515,3836,4418,8879,13950,17201
Finland,Europe,Northern Europe,18314,14438,11375,17235,13511,10459,3365,2527,2690,1685,1491,2518,4268,10956,16823
Iceland,Europe,Northern Europe,789,618,355,603,431,475,216,187,265,228,174,175,288,434,1202
Ireland,Europe,Northern Europe,8512,6426,7270,7217,6045,7229,5205,5808,8081,8162,5080,4617,6155,7415,9336
Norway,Europe,Northern Europe,19174,16612,10277,14747,13361,10665,4085,2945,7606,12665,3637,4228,5970,10021,19801
Sweden,Europe,Northern Europe,41975,35536,23215,38022,31626,22564,7754,4437,9040,8096,3598,5001,12021,21042,49322
